model,accuracy,precision,recall,f1,auc
LogReg,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9897486772486772
RandomForest,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9938822751322752
SVM,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9990079365079365
KNN,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9948743386243387
XGBoost,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9966931216931217
