features,auc_mean,auc_std
5,0.9951837207569275,0.003312655387821539
8,0.9952529994783517,0.0033815155422681773
10,0.9953849713266679,0.0037792238946949474
15,0.9955830590779821,0.0033998750060524005
20,0.9955169215118446,0.0036847257256021255
